compliance_id,mine_id,compliance_code,category,authority,regulation_name,requirement,applicability,frequency,issue_date,due_date,expiry_date,responsible_officer_role,status,priority,evidence_required,source_rule_reference,data_source,data_note
CMP-M001-011,M001,LAB-01,Labour,DGMS / Labour Compliance,Mine Worker Fitness & Welfare Requirements,Worker fitness validity review,ALL,MONTHLY,2025-10-13,2026-09-18,2026-10-27,HR Officer,DUE_SOON,HIGH,Fitness validity record,Mine Worker Fitness & Welfare Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-012,M001,LAB-02,Labour,DGMS / Labour Compliance,Training & Competency Requirements,Worker competency/certificate validity,ALL,MONTHLY,2025-08-19,2026-11-23,2027-06-20,HR Officer,COMPLIANT,MEDIUM,Competency certificate,Training & Competency Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-013,M001,CON-01,Contractor,Mine Management,Contractor Safety Management,Contractor training/PPE/licence compliance,ALL,MONTHLY,2026-04-15,2026-11-17,2026-12-20,Contractor Manager,COMPLIANT,MEDIUM,Contractor compliance pack,Contractor Safety Management / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-014,M001,PRO-01,Production,Ministry of Coal / Coal Controller,Production Reporting Requirement,Daily/monthly production reporting,"OPERATING,REOPENING",MONTHLY,2025-05-18,2026-11-12,2027-03-15,Production Officer,COMPLIANT,LOW,Production statement,Production Reporting Requirement / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-015,M001,CLS-01,Mine Closure,Ministry of Coal,Mining Plan & Mine Closure Plan,Progressive/final mine closure obligations,ALL,QUARTERLY,2025-05-09,2026-09-21,2027-01-10,Mine Planning Officer,DUE_SOON,HIGH,Closure progress evidence,Mining Plan & Mine Closure Plan / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-001,M002,SAF-01,Safety,DGMS,"Coal Mines Regulations, 2017",General mine safety inspection & statutory records,ALL,MONTHLY,2026-05-11,2026-09-19,2026-10-25,Safety Officer,DUE_SOON,MEDIUM,Inspection records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-002,M002,SAF-02,Safety,DGMS,"Mines Vocational Training Rules, 1966",Vocational/refresher training validity,ALL,MONTHLY,2026-05-29,2026-09-17,2026-10-15,Training Officer,DUE_SOON,HIGH,Training certificates,"Mines Vocational Training Rules, 1966 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-003,M002,SAF-03,Safety,DGMS,"Mines Rescue Rules, 1985",Emergency/rescue preparedness review,"UNDERGROUND,MIXED",QUARTERLY,2026-08-03,2026-08-26,2026-10-13,Safety Officer,NON_COMPLIANT,CRITICAL,Mock drill/rescue records,"Mines Rescue Rules, 1985 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-004,M002,SAF-04,Safety,DGMS,"Coal Mines Regulations, 2017",Ventilation and mine-air monitoring review,"UNDERGROUND,MIXED",WEEKLY,2025-11-10,2026-09-05,2026-11-20,Ventilation Officer,DUE_SOON,HIGH,Gas/ventilation records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-005,M002,SAF-05,Safety,DGMS,"Coal Mines Regulations, 2017",Strata/roof support inspection,"UNDERGROUND,MIXED",WEEKLY,2025-12-07,2027-02-08,2027-07-25,Safety Officer,COMPLIANT,MEDIUM,Strata evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-006,M002,SAF-06,Safety,DGMS,"Coal Mines Regulations, 2017",Slope/dump/highwall safety inspection,"OPENCAST,MIXED",WEEKLY,2025-06-30,,,Safety Officer,NOT_APPLICABLE,LOW,Geotechnical evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-007,M002,ENV-01,Environment,MoEFCC/PARIVESH,Environmental Clearance Conditions,Environmental clearance condition compliance,ALL,HALF_YEARLY,2025-10-14,2026-10-05,2027-03-22,Environment Officer,COMPLIANT,LOW,EC compliance report,Environmental Clearance Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-008,M002,ENV-02,Environment,State Pollution Control Board,Consent to Operate Conditions,Consent to Operate validity/conditions,ALL,ANNUAL,2026-04-06,2026-09-18,2026-12-22,Environment Officer,DUE_SOON,HIGH,CTO certificate,Consent to Operate Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-009,M002,ENV-03,Environment,State Pollution Control Board,Environmental Monitoring Programme,Ambient air quality monitoring,ALL,FORTNIGHTLY,2025-11-17,2026-09-27,2026-11-11,Environment Officer,DUE_SOON,HIGH,Air monitoring report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-010,M002,ENV-04,Environment,State Pollution Control Board,Environmental Monitoring Programme,Mine-water quality monitoring,ALL,FORTNIGHTLY,2026-06-02,2026-11-02,2027-05-31,Environment Officer,COMPLIANT,LOW,Water analysis report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-011,M002,LAB-01,Labour,DGMS / Labour Compliance,Mine Worker Fitness & Welfare Requirements,Worker fitness validity review,ALL,MONTHLY,2026-06-05,2027-01-19,2027-01-12,HR Officer,COMPLIANT,LOW,Fitness validity record,Mine Worker Fitness & Welfare Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-012,M002,LAB-02,Labour,DGMS / Labour Compliance,Training & Competency Requirements,Worker competency/certificate validity,ALL,MONTHLY,2025-04-24,2027-02-08,2027-05-18,HR Officer,COMPLIANT,LOW,Competency certificate,Training & Competency Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-013,M002,CON-01,Contractor,Mine Management,Contractor Safety Management,Contractor training/PPE/licence compliance,ALL,MONTHLY,2025-06-20,2026-10-09,2027-06-23,Contractor Manager,COMPLIANT,MEDIUM,Contractor compliance pack,Contractor Safety Management / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-014,M002,PRO-01,Production,Ministry of Coal / Coal Controller,Production Reporting Requirement,Daily/monthly production reporting,"OPERATING,REOPENING",MONTHLY,2025-08-24,2027-02-05,2027-02-04,Production Officer,COMPLIANT,LOW,Production statement,Production Reporting Requirement / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M002-015,M002,CLS-01,Mine Closure,Ministry of Coal,Mining Plan & Mine Closure Plan,Progressive/final mine closure obligations,ALL,QUARTERLY,2026-01-18,2027-01-09,2027-07-29,Mine Planning Officer,COMPLIANT,MEDIUM,Closure progress evidence,Mining Plan & Mine Closure Plan / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-001,M003,SAF-01,Safety,DGMS,"Coal Mines Regulations, 2017",General mine safety inspection & statutory records,ALL,MONTHLY,2025-06-13,2027-01-04,2026-12-07,Safety Officer,COMPLIANT,MEDIUM,Inspection records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-002,M003,SAF-02,Safety,DGMS,"Mines Vocational Training Rules, 1966",Vocational/refresher training validity,ALL,MONTHLY,2026-06-26,2026-12-06,2027-04-28,Training Officer,COMPLIANT,MEDIUM,Training certificates,"Mines Vocational Training Rules, 1966 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-003,M003,SAF-03,Safety,DGMS,"Mines Rescue Rules, 1985",Emergency/rescue preparedness review,"UNDERGROUND,MIXED",QUARTERLY,2026-04-18,,,Safety Officer,NOT_APPLICABLE,LOW,Mock drill/rescue records,"Mines Rescue Rules, 1985 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-004,M003,SAF-04,Safety,DGMS,"Coal Mines Regulations, 2017",Ventilation and mine-air monitoring review,"UNDERGROUND,MIXED",WEEKLY,2026-05-06,,,Ventilation Officer,NOT_APPLICABLE,LOW,Gas/ventilation records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-005,M003,SAF-05,Safety,DGMS,"Coal Mines Regulations, 2017",Strata/roof support inspection,"UNDERGROUND,MIXED",WEEKLY,2025-10-31,,,Safety Officer,NOT_APPLICABLE,LOW,Strata evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-006,M003,SAF-06,Safety,DGMS,"Coal Mines Regulations, 2017",Slope/dump/highwall safety inspection,"OPENCAST,MIXED",WEEKLY,2026-06-20,2027-02-25,2027-06-15,Safety Officer,COMPLIANT,MEDIUM,Geotechnical evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-007,M003,ENV-01,Environment,MoEFCC/PARIVESH,Environmental Clearance Conditions,Environmental clearance condition compliance,ALL,HALF_YEARLY,2026-04-13,2026-10-14,2027-05-12,Environment Officer,COMPLIANT,MEDIUM,EC compliance report,Environmental Clearance Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-008,M003,ENV-02,Environment,State Pollution Control Board,Consent to Operate Conditions,Consent to Operate validity/conditions,ALL,ANNUAL,2025-07-07,2027-01-05,2027-07-24,Environment Officer,COMPLIANT,LOW,CTO certificate,Consent to Operate Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-009,M003,ENV-03,Environment,State Pollution Control Board,Environmental Monitoring Programme,Ambient air quality monitoring,ALL,FORTNIGHTLY,2025-11-24,2027-01-07,2027-08-05,Environment Officer,COMPLIANT,MEDIUM,Air monitoring report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-010,M003,ENV-04,Environment,State Pollution Control Board,Environmental Monitoring Programme,Mine-water quality monitoring,ALL,FORTNIGHTLY,2025-07-27,2027-01-03,2027-07-07,Environment Officer,COMPLIANT,LOW,Water analysis report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-011,M003,LAB-01,Labour,DGMS / Labour Compliance,Mine Worker Fitness & Welfare Requirements,Worker fitness validity review,ALL,MONTHLY,2026-07-11,2027-01-31,2027-02-21,HR Officer,COMPLIANT,LOW,Fitness validity record,Mine Worker Fitness & Welfare Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-012,M003,LAB-02,Labour,DGMS / Labour Compliance,Training & Competency Requirements,Worker competency/certificate validity,ALL,MONTHLY,2026-04-16,2026-12-02,2027-02-19,HR Officer,COMPLIANT,MEDIUM,Competency certificate,Training & Competency Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-013,M003,CON-01,Contractor,Mine Management,Contractor Safety Management,Contractor training/PPE/licence compliance,ALL,MONTHLY,2026-04-23,2026-10-19,2027-06-22,Contractor Manager,COMPLIANT,MEDIUM,Contractor compliance pack,Contractor Safety Management / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-014,M003,PRO-01,Production,Ministry of Coal / Coal Controller,Production Reporting Requirement,Daily/monthly production reporting,"OPERATING,REOPENING",MONTHLY,2025-12-30,2026-11-01,2027-08-21,Production Officer,COMPLIANT,LOW,Production statement,Production Reporting Requirement / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M003-015,M003,CLS-01,Mine Closure,Ministry of Coal,Mining Plan & Mine Closure Plan,Progressive/final mine closure obligations,ALL,QUARTERLY,2025-07-15,2026-09-25,2026-09-15,Mine Planning Officer,DUE_SOON,MEDIUM,Closure progress evidence,Mining Plan & Mine Closure Plan / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-001,M004,SAF-01,Safety,DGMS,"Coal Mines Regulations, 2017",General mine safety inspection & statutory records,ALL,MONTHLY,2025-08-14,2027-02-07,2026-12-24,Safety Officer,COMPLIANT,LOW,Inspection records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-002,M004,SAF-02,Safety,DGMS,"Mines Vocational Training Rules, 1966",Vocational/refresher training validity,ALL,MONTHLY,2026-05-01,2026-12-13,2027-06-27,Training Officer,COMPLIANT,MEDIUM,Training certificates,"Mines Vocational Training Rules, 1966 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-003,M004,SAF-03,Safety,DGMS,"Mines Rescue Rules, 1985",Emergency/rescue preparedness review,"UNDERGROUND,MIXED",QUARTERLY,2025-11-19,2026-08-14,2026-10-13,Safety Officer,OVERDUE,HIGH,Mock drill/rescue records,"Mines Rescue Rules, 1985 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-004,M004,SAF-04,Safety,DGMS,"Coal Mines Regulations, 2017",Ventilation and mine-air monitoring review,"UNDERGROUND,MIXED",WEEKLY,2025-11-20,2026-09-16,2026-12-13,Ventilation Officer,DUE_SOON,HIGH,Gas/ventilation records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-005,M004,SAF-05,Safety,DGMS,"Coal Mines Regulations, 2017",Strata/roof support inspection,"UNDERGROUND,MIXED",WEEKLY,2026-04-26,2027-02-08,2027-03-22,Safety Officer,COMPLIANT,MEDIUM,Strata evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-006,M004,SAF-06,Safety,DGMS,"Coal Mines Regulations, 2017",Slope/dump/highwall safety inspection,"OPENCAST,MIXED",WEEKLY,2025-12-13,,,Safety Officer,NOT_APPLICABLE,LOW,Geotechnical evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-007,M004,ENV-01,Environment,MoEFCC/PARIVESH,Environmental Clearance Conditions,Environmental clearance condition compliance,ALL,HALF_YEARLY,2025-11-23,2026-12-17,2027-04-04,Environment Officer,COMPLIANT,MEDIUM,EC compliance report,Environmental Clearance Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-008,M004,ENV-02,Environment,State Pollution Control Board,Consent to Operate Conditions,Consent to Operate validity/conditions,ALL,ANNUAL,2026-06-15,2026-11-27,2026-12-24,Environment Officer,COMPLIANT,LOW,CTO certificate,Consent to Operate Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-009,M004,ENV-03,Environment,State Pollution Control Board,Environmental Monitoring Programme,Ambient air quality monitoring,ALL,FORTNIGHTLY,2025-04-21,2026-09-06,2026-10-24,Environment Officer,DUE_SOON,HIGH,Air monitoring report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-010,M004,ENV-04,Environment,State Pollution Control Board,Environmental Monitoring Programme,Mine-water quality monitoring,ALL,FORTNIGHTLY,2025-11-01,2026-12-02,2027-06-16,Environment Officer,COMPLIANT,LOW,Water analysis report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-011,M004,LAB-01,Labour,DGMS / Labour Compliance,Mine Worker Fitness & Welfare Requirements,Worker fitness validity review,ALL,MONTHLY,2025-12-04,2026-09-03,2027-01-29,HR Officer,DUE_SOON,HIGH,Fitness validity record,Mine Worker Fitness & Welfare Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-012,M004,LAB-02,Labour,DGMS / Labour Compliance,Training & Competency Requirements,Worker competency/certificate validity,ALL,MONTHLY,2025-06-27,2026-09-16,2026-10-31,HR Officer,DUE_SOON,MEDIUM,Competency certificate,Training & Competency Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-013,M004,CON-01,Contractor,Mine Management,Contractor Safety Management,Contractor training/PPE/licence compliance,ALL,MONTHLY,2025-08-21,2026-09-27,2027-01-24,Contractor Manager,DUE_SOON,MEDIUM,Contractor compliance pack,Contractor Safety Management / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-014,M004,PRO-01,Production,Ministry of Coal / Coal Controller,Production Reporting Requirement,Daily/monthly production reporting,"OPERATING,REOPENING",MONTHLY,2025-11-25,2026-09-08,2026-10-30,Production Officer,DUE_SOON,HIGH,Production statement,Production Reporting Requirement / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M004-015,M004,CLS-01,Mine Closure,Ministry of Coal,Mining Plan & Mine Closure Plan,Progressive/final mine closure obligations,ALL,QUARTERLY,2026-05-14,2026-11-27,2027-04-01,Mine Planning Officer,COMPLIANT,LOW,Closure progress evidence,Mining Plan & Mine Closure Plan / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-001,M005,SAF-01,Safety,DGMS,"Coal Mines Regulations, 2017",General mine safety inspection & statutory records,ALL,MONTHLY,2026-01-27,2026-11-27,2026-12-23,Safety Officer,COMPLIANT,MEDIUM,Inspection records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-002,M005,SAF-02,Safety,DGMS,"Mines Vocational Training Rules, 1966",Vocational/refresher training validity,ALL,MONTHLY,2026-06-26,2026-11-19,2027-04-22,Training Officer,COMPLIANT,LOW,Training certificates,"Mines Vocational Training Rules, 1966 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-003,M005,SAF-03,Safety,DGMS,"Mines Rescue Rules, 1985",Emergency/rescue preparedness review,"UNDERGROUND,MIXED",QUARTERLY,2026-03-19,,,Safety Officer,NOT_APPLICABLE,LOW,Mock drill/rescue records,"Mines Rescue Rules, 1985 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-004,M005,SAF-04,Safety,DGMS,"Coal Mines Regulations, 2017",Ventilation and mine-air monitoring review,"UNDERGROUND,MIXED",WEEKLY,2025-08-30,,,Ventilation Officer,NOT_APPLICABLE,LOW,Gas/ventilation records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-005,M005,SAF-05,Safety,DGMS,"Coal Mines Regulations, 2017",Strata/roof support inspection,"UNDERGROUND,MIXED",WEEKLY,2025-06-11,,,Safety Officer,NOT_APPLICABLE,LOW,Strata evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-006,M005,SAF-06,Safety,DGMS,"Coal Mines Regulations, 2017",Slope/dump/highwall safety inspection,"OPENCAST,MIXED",WEEKLY,2025-12-16,2026-10-07,2027-05-15,Safety Officer,COMPLIANT,MEDIUM,Geotechnical evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-007,M005,ENV-01,Environment,MoEFCC/PARIVESH,Environmental Clearance Conditions,Environmental clearance condition compliance,ALL,HALF_YEARLY,2025-11-23,2026-10-11,2027-03-08,Environment Officer,COMPLIANT,LOW,EC compliance report,Environmental Clearance Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-008,M005,ENV-02,Environment,State Pollution Control Board,Consent to Operate Conditions,Consent to Operate validity/conditions,ALL,ANNUAL,2026-01-19,2027-02-24,2027-03-29,Environment Officer,COMPLIANT,MEDIUM,CTO certificate,Consent to Operate Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-009,M005,ENV-03,Environment,State Pollution Control Board,Environmental Monitoring Programme,Ambient air quality monitoring,ALL,FORTNIGHTLY,2026-05-17,2027-02-01,2027-09-01,Environment Officer,COMPLIANT,MEDIUM,Air monitoring report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-010,M005,ENV-04,Environment,State Pollution Control Board,Environmental Monitoring Programme,Mine-water quality monitoring,ALL,FORTNIGHTLY,2025-09-13,2026-11-09,2027-04-08,Environment Officer,COMPLIANT,MEDIUM,Water analysis report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-011,M005,LAB-01,Labour,DGMS / Labour Compliance,Mine Worker Fitness & Welfare Requirements,Worker fitness validity review,ALL,MONTHLY,2026-03-01,2027-01-15,2027-01-30,HR Officer,COMPLIANT,LOW,Fitness validity record,Mine Worker Fitness & Welfare Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-012,M005,LAB-02,Labour,DGMS / Labour Compliance,Training & Competency Requirements,Worker competency/certificate validity,ALL,MONTHLY,2026-01-19,2026-12-17,2027-03-31,HR Officer,COMPLIANT,MEDIUM,Competency certificate,Training & Competency Requirements / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-013,M005,CON-01,Contractor,Mine Management,Contractor Safety Management,Contractor training/PPE/licence compliance,ALL,MONTHLY,2025-12-31,2026-09-04,2026-10-03,Contractor Manager,DUE_SOON,MEDIUM,Contractor compliance pack,Contractor Safety Management / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-014,M005,PRO-01,Production,Ministry of Coal / Coal Controller,Production Reporting Requirement,Daily/monthly production reporting,"OPERATING,REOPENING",MONTHLY,2025-06-01,2026-10-08,2027-05-06,Production Officer,COMPLIANT,MEDIUM,Production statement,Production Reporting Requirement / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M005-015,M005,CLS-01,Mine Closure,Ministry of Coal,Mining Plan & Mine Closure Plan,Progressive/final mine closure obligations,ALL,QUARTERLY,2026-04-28,2027-01-31,2027-03-17,Mine Planning Officer,COMPLIANT,LOW,Closure progress evidence,Mining Plan & Mine Closure Plan / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
