document_id,mine_id,document_type,file_name,authority,issue_date,expiry_date,uploaded_by_role,uploaded_at,file_path,extracted_text_excerpt,ocr_used,extraction_confidence,source_status,linked_compliance_id,data_source,data_note
DOC-00017,M002,Mine Closure Plan,M002_mine_closure_plan_05.pdf,Ministry of Coal / Competent Authority,2025-11-07,,Environment Officer,2026-09-02T11:10:00,/demo_documents/M002/DOC-00017.pdf,"Synthetic extracted text for Mine Closure Plan; supports OCR, parsing and compliance workflow tests.",YES,0.776,NEEDS_REVIEW,CMP-M002-005,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00018,M002,DGMS Inspection Report,M002_dgms_inspection_report_06.pdf,DGMS,2026-03-09,,HR Officer,2026-09-02T16:30:00,/demo_documents/M002/DOC-00018.pdf,"Synthetic extracted text for DGMS Inspection Report; supports OCR, parsing and compliance workflow tests.",YES,0.723,NEEDS_REVIEW,CMP-M002-006,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00019,M002,Safety Audit Report,M002_safety_audit_report_07.pdf,Mine Management,2025-06-18,,HR Officer,2026-09-02T08:40:00,/demo_documents/M002/DOC-00019.pdf,"Synthetic extracted text for Safety Audit Report; supports OCR, parsing and compliance workflow tests.",NO,0.981,VERIFIED_DEMO,CMP-M002-007,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00020,M002,Contractor Licence,M002_contractor_licence_08.pdf,Contractor / Labour Compliance,2026-08-09,2027-02-05,Compliance Officer,2026-09-02T13:00:00,/demo_documents/M002/DOC-00020.pdf,"Synthetic extracted text for Contractor Licence; supports OCR, parsing and compliance workflow tests.",NO,0.992,VERIFIED_DEMO,CMP-M002-008,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00021,M002,Worker Training Certificate,M002_worker_training_certificate_09.pdf,Mine Training Department,2025-12-27,2026-12-27,Environment Officer,2026-09-02T12:00:00,/demo_documents/M002/DOC-00021.pdf,"Synthetic extracted text for Worker Training Certificate; supports OCR, parsing and compliance workflow tests.",NO,0.986,VERIFIED_DEMO,CMP-M002-009,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00022,M002,Equipment Fitness Certificate,M002_equipment_fitness_certificate_10.pdf,Mine Mechanical Department,2024-10-26,2025-10-26,Environment Officer,2026-09-02T09:30:00,/demo_documents/M002/DOC-00022.pdf,"Synthetic extracted text for Equipment Fitness Certificate; supports OCR, parsing and compliance workflow tests.",YES,0.962,VERIFIED_DEMO,CMP-M002-010,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00023,M002,Environmental Monitoring Report,M002_environmental_monitoring_report_11.pdf,Environment Department,2026-07-08,,Compliance Officer,2026-09-02T13:00:00,/demo_documents/M002/DOC-00023.pdf,"Synthetic extracted text for Environmental Monitoring Report; supports OCR, parsing and compliance workflow tests.",YES,0.931,VERIFIED_DEMO,CMP-M002-011,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00024,M002,Emergency / Mock Drill Report,M002_emergency___mock_drill_report_12.pdf,Mine Safety Department,2026-04-15,,Environment Officer,2026-09-02T11:50:00,/demo_documents/M002/DOC-00024.pdf,"Synthetic extracted text for Emergency / Mock Drill Report; supports OCR, parsing and compliance workflow tests.",NO,0.999,VERIFIED_DEMO,CMP-M002-012,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00025,M003,Environmental Clearance,M003_environmental_clearance_01.pdf,MoEFCC/PARIVESH,2026-04-15,,HR Officer,2026-09-02T16:40:00,/demo_documents/M003/DOC-00025.pdf,"Synthetic extracted text for Environmental Clearance; supports OCR, parsing and compliance workflow tests.",YES,0.912,VERIFIED_DEMO,CMP-M003-001,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00026,M003,Consent to Operate,M003_consent_to_operate_02.pdf,State Pollution Control Board,2026-05-20,2026-11-16,HR Officer,2026-09-02T13:20:00,/demo_documents/M003/DOC-00026.pdf,"Synthetic extracted text for Consent to Operate; supports OCR, parsing and compliance workflow tests.",YES,0.792,NEEDS_REVIEW,CMP-M003-002,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00027,M003,Consent to Establish,M003_consent_to_establish_03.pdf,State Pollution Control Board,2025-06-12,2025-12-09,Safety Officer,2026-09-02T15:20:00,/demo_documents/M003/DOC-00027.pdf,"Synthetic extracted text for Consent to Establish; supports OCR, parsing and compliance workflow tests.",NO,0.951,VERIFIED_DEMO,CMP-M003-003,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00028,M003,Mining Plan,M003_mining_plan_04.pdf,Ministry of Coal / Competent Authority,2025-11-04,,HR Officer,2026-09-02T16:00:00,/demo_documents/M003/DOC-00028.pdf,"Synthetic extracted text for Mining Plan; supports OCR, parsing and compliance workflow tests.",YES,0.881,VERIFIED_DEMO,CMP-M003-004,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00029,M003,Mine Closure Plan,M003_mine_closure_plan_05.pdf,Ministry of Coal / Competent Authority,2024-12-24,,Environment Officer,2026-09-02T10:40:00,/demo_documents/M003/DOC-00029.pdf,"Synthetic extracted text for Mine Closure Plan; supports OCR, parsing and compliance workflow tests.",YES,0.942,VERIFIED_DEMO,CMP-M003-005,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00030,M003,DGMS Inspection Report,M003_dgms_inspection_report_06.pdf,DGMS,2025-06-15,,HR Officer,2026-09-02T17:50:00,/demo_documents/M003/DOC-00030.pdf,"Synthetic extracted text for DGMS Inspection Report; supports OCR, parsing and compliance workflow tests.",YES,0.963,VERIFIED_DEMO,CMP-M003-006,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00031,M003,Safety Audit Report,M003_safety_audit_report_07.pdf,Mine Management,2026-04-23,,Environment Officer,2026-09-02T17:10:00,/demo_documents/M003/DOC-00031.pdf,"Synthetic extracted text for Safety Audit Report; supports OCR, parsing and compliance workflow tests.",YES,0.75,NEEDS_REVIEW,CMP-M003-007,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00032,M003,Contractor Licence,M003_contractor_licence_08.pdf,Contractor / Labour Compliance,2025-05-14,2026-05-14,Safety Officer,2026-09-02T12:20:00,/demo_documents/M003/DOC-00032.pdf,"Synthetic extracted text for Contractor Licence; supports OCR, parsing and compliance workflow tests.",YES,0.938,VERIFIED_DEMO,CMP-M003-008,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00033,M003,Worker Training Certificate,M003_worker_training_certificate_09.pdf,Mine Training Department,2026-06-01,2026-11-28,Environment Officer,2026-09-02T15:40:00,/demo_documents/M003/DOC-00033.pdf,"Synthetic extracted text for Worker Training Certificate; supports OCR, parsing and compliance workflow tests.",NO,0.972,VERIFIED_DEMO,CMP-M003-009,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00034,M003,Equipment Fitness Certificate,M003_equipment_fitness_certificate_10.pdf,Mine Mechanical Department,2025-02-13,2027-02-13,Safety Officer,2026-09-02T14:20:00,/demo_documents/M003/DOC-00034.pdf,"Synthetic extracted text for Equipment Fitness Certificate; supports OCR, parsing and compliance workflow tests.",NO,0.961,VERIFIED_DEMO,CMP-M003-010,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00035,M003,Environmental Monitoring Report,M003_environmental_monitoring_report_11.pdf,Environment Department,2025-02-08,,HR Officer,2026-09-02T08:30:00,/demo_documents/M003/DOC-00035.pdf,"Synthetic extracted text for Environmental Monitoring Report; supports OCR, parsing and compliance workflow tests.",NO,0.964,VERIFIED_DEMO,CMP-M003-011,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00036,M003,Emergency / Mock Drill Report,M003_emergency___mock_drill_report_12.pdf,Mine Safety Department,2025-09-21,,Environment Officer,2026-09-02T12:00:00,/demo_documents/M003/DOC-00036.pdf,"Synthetic extracted text for Emergency / Mock Drill Report; supports OCR, parsing and compliance workflow tests.",NO,0.99,VERIFIED_DEMO,CMP-M003-012,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00037,M004,Environmental Clearance,M004_environmental_clearance_01.pdf,MoEFCC/PARIVESH,2025-08-13,,Environment Officer,2026-09-02T15:30:00,/demo_documents/M004/DOC-00037.pdf,"Synthetic extracted text for Environmental Clearance; supports OCR, parsing and compliance workflow tests.",YES,0.723,NEEDS_REVIEW,CMP-M004-001,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00038,M004,Consent to Operate,M004_consent_to_operate_02.pdf,State Pollution Control Board,2025-01-19,2025-07-18,Environment Officer,2026-09-02T17:10:00,/demo_documents/M004/DOC-00038.pdf,"Synthetic extracted text for Consent to Operate; supports OCR, parsing and compliance workflow tests.",YES,0.793,NEEDS_REVIEW,CMP-M004-002,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00039,M004,Consent to Establish,M004_consent_to_establish_03.pdf,State Pollution Control Board,2024-12-18,2026-12-18,Compliance Officer,2026-09-02T14:30:00,/demo_documents/M004/DOC-00039.pdf,"Synthetic extracted text for Consent to Establish; supports OCR, parsing and compliance workflow tests.",NO,0.97,VERIFIED_DEMO,CMP-M004-003,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00040,M004,Mining Plan,M004_mining_plan_04.pdf,Ministry of Coal / Competent Authority,2025-07-18,,Environment Officer,2026-09-02T12:10:00,/demo_documents/M004/DOC-00040.pdf,"Synthetic extracted text for Mining Plan; supports OCR, parsing and compliance workflow tests.",NO,0.972,VERIFIED_DEMO,CMP-M004-004,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00041,M004,Mine Closure Plan,M004_mine_closure_plan_05.pdf,Ministry of Coal / Competent Authority,2026-07-31,,Safety Officer,2026-09-02T15:10:00,/demo_documents/M004/DOC-00041.pdf,"Synthetic extracted text for Mine Closure Plan; supports OCR, parsing and compliance workflow tests.",NO,0.985,VERIFIED_DEMO,CMP-M004-005,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00042,M004,DGMS Inspection Report,M004_dgms_inspection_report_06.pdf,DGMS,2024-10-05,,Safety Officer,2026-09-02T10:30:00,/demo_documents/M004/DOC-00042.pdf,"Synthetic extracted text for DGMS Inspection Report; supports OCR, parsing and compliance workflow tests.",NO,0.97,VERIFIED_DEMO,CMP-M004-006,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00043,M004,Safety Audit Report,M004_safety_audit_report_07.pdf,Mine Management,2025-03-05,,HR Officer,2026-09-02T10:20:00,/demo_documents/M004/DOC-00043.pdf,"Synthetic extracted text for Safety Audit Report; supports OCR, parsing and compliance workflow tests.",YES,0.907,VERIFIED_DEMO,CMP-M004-007,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00044,M004,Contractor Licence,M004_contractor_licence_08.pdf,Contractor / Labour Compliance,2026-01-16,2026-07-15,Safety Officer,2026-09-02T16:10:00,/demo_documents/M004/DOC-00044.pdf,"Synthetic extracted text for Contractor Licence; supports OCR, parsing and compliance workflow tests.",NO,0.999,VERIFIED_DEMO,CMP-M004-008,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00045,M004,Worker Training Certificate,M004_worker_training_certificate_09.pdf,Mine Training Department,2026-06-17,2027-06-17,HR Officer,2026-09-02T16:00:00,/demo_documents/M004/DOC-00045.pdf,"Synthetic extracted text for Worker Training Certificate; supports OCR, parsing and compliance workflow tests.",NO,0.988,VERIFIED_DEMO,CMP-M004-009,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00046,M004,Equipment Fitness Certificate,M004_equipment_fitness_certificate_10.pdf,Mine Mechanical Department,2025-11-03,2026-05-02,Safety Officer,2026-09-02T14:20:00,/demo_documents/M004/DOC-00046.pdf,"Synthetic extracted text for Equipment Fitness Certificate; supports OCR, parsing and compliance workflow tests.",YES,0.735,NEEDS_REVIEW,CMP-M004-010,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00047,M004,Environmental Monitoring Report,M004_environmental_monitoring_report_11.pdf,Environment Department,2025-10-05,,Compliance Officer,2026-09-02T10:40:00,/demo_documents/M004/DOC-00047.pdf,"Synthetic extracted text for Environmental Monitoring Report; supports OCR, parsing and compliance workflow tests.",NO,0.99,VERIFIED_DEMO,CMP-M004-011,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00048,M004,Emergency / Mock Drill Report,M004_emergency___mock_drill_report_12.pdf,Mine Safety Department,2026-04-09,,HR Officer,2026-09-02T10:50:00,/demo_documents/M004/DOC-00048.pdf,"Synthetic extracted text for Emergency / Mock Drill Report; supports OCR, parsing and compliance workflow tests.",YES,0.926,VERIFIED_DEMO,CMP-M004-012,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00049,M005,Environmental Clearance,M005_environmental_clearance_01.pdf,MoEFCC/PARIVESH,2025-03-04,,HR Officer,2026-09-02T12:00:00,/demo_documents/M005/DOC-00049.pdf,"Synthetic extracted text for Environmental Clearance; supports OCR, parsing and compliance workflow tests.",YES,0.724,NEEDS_REVIEW,CMP-M005-001,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00050,M005,Consent to Operate,M005_consent_to_operate_02.pdf,State Pollution Control Board,2025-12-20,2026-12-20,Environment Officer,2026-09-02T13:50:00,/demo_documents/M005/DOC-00050.pdf,"Synthetic extracted text for Consent to Operate; supports OCR, parsing and compliance workflow tests.",NO,0.991,VERIFIED_DEMO,CMP-M005-002,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00051,M005,Consent to Establish,M005_consent_to_establish_03.pdf,State Pollution Control Board,2025-02-08,2027-02-08,HR Officer,2026-09-02T11:10:00,/demo_documents/M005/DOC-00051.pdf,"Synthetic extracted text for Consent to Establish; supports OCR, parsing and compliance workflow tests.",NO,0.953,VERIFIED_DEMO,CMP-M005-003,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00052,M005,Mining Plan,M005_mining_plan_04.pdf,Ministry of Coal / Competent Authority,2025-04-27,,Environment Officer,2026-09-02T11:30:00,/demo_documents/M005/DOC-00052.pdf,"Synthetic extracted text for Mining Plan; supports OCR, parsing and compliance workflow tests.",NO,0.963,VERIFIED_DEMO,CMP-M005-004,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00053,M005,Mine Closure Plan,M005_mine_closure_plan_05.pdf,Ministry of Coal / Competent Authority,2026-02-05,,Environment Officer,2026-09-02T16:00:00,/demo_documents/M005/DOC-00053.pdf,"Synthetic extracted text for Mine Closure Plan; supports OCR, parsing and compliance workflow tests.",YES,0.886,VERIFIED_DEMO,CMP-M005-005,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00054,M005,DGMS Inspection Report,M005_dgms_inspection_report_06.pdf,DGMS,2025-03-16,,Compliance Officer,2026-09-02T12:30:00,/demo_documents/M005/DOC-00054.pdf,"Synthetic extracted text for DGMS Inspection Report; supports OCR, parsing and compliance workflow tests.",NO,0.991,VERIFIED_DEMO,CMP-M005-006,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00055,M005,Safety Audit Report,M005_safety_audit_report_07.pdf,Mine Management,2024-12-03,,Compliance Officer,2026-09-02T14:00:00,/demo_documents/M005/DOC-00055.pdf,"Synthetic extracted text for Safety Audit Report; supports OCR, parsing and compliance workflow tests.",NO,0.951,VERIFIED_DEMO,CMP-M005-007,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00056,M005,Contractor Licence,M005_contractor_licence_08.pdf,Contractor / Labour Compliance,2026-04-11,2026-10-08,Environment Officer,2026-09-02T09:10:00,/demo_documents/M005/DOC-00056.pdf,"Synthetic extracted text for Contractor Licence; supports OCR, parsing and compliance workflow tests.",NO,0.988,VERIFIED_DEMO,CMP-M005-008,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00057,M005,Worker Training Certificate,M005_worker_training_certificate_09.pdf,Mine Training Department,2025-07-02,2025-12-29,HR Officer,2026-09-02T09:10:00,/demo_documents/M005/DOC-00057.pdf,"Synthetic extracted text for Worker Training Certificate; supports OCR, parsing and compliance workflow tests.",YES,0.748,NEEDS_REVIEW,CMP-M005-009,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00058,M005,Equipment Fitness Certificate,M005_equipment_fitness_certificate_10.pdf,Mine Mechanical Department,2025-05-04,2025-10-31,Environment Officer,2026-09-02T13:10:00,/demo_documents/M005/DOC-00058.pdf,"Synthetic extracted text for Equipment Fitness Certificate; supports OCR, parsing and compliance workflow tests.",NO,0.991,VERIFIED_DEMO,CMP-M005-010,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00059,M005,Environmental Monitoring Report,M005_environmental_monitoring_report_11.pdf,Environment Department,2025-09-04,,Safety Officer,2026-09-02T11:40:00,/demo_documents/M005/DOC-00059.pdf,"Synthetic extracted text for Environmental Monitoring Report; supports OCR, parsing and compliance workflow tests.",YES,0.947,VERIFIED_DEMO,CMP-M005-011,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00060,M005,Emergency / Mock Drill Report,M005_emergency___mock_drill_report_12.pdf,Mine Safety Department,2024-10-15,,Safety Officer,2026-09-02T12:30:00,/demo_documents/M005/DOC-00060.pdf,"Synthetic extracted text for Emergency / Mock Drill Report; supports OCR, parsing and compliance workflow tests.",YES,0.767,NEEDS_REVIEW,CMP-M005-012,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00061,M006,Environmental Clearance,M006_environmental_clearance_01.pdf,MoEFCC/PARIVESH,2026-01-29,,HR Officer,2026-09-02T11:50:00,/demo_documents/M006/DOC-00061.pdf,"Synthetic extracted text for Environmental Clearance; supports OCR, parsing and compliance workflow tests.",NO,0.967,VERIFIED_DEMO,CMP-M006-001,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00062,M006,Consent to Operate,M006_consent_to_operate_02.pdf,State Pollution Control Board,2025-05-11,2027-05-11,Environment Officer,2026-09-02T17:50:00,/demo_documents/M006/DOC-00062.pdf,"Synthetic extracted text for Consent to Operate; supports OCR, parsing and compliance workflow tests.",NO,0.967,VERIFIED_DEMO,CMP-M006-002,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00063,M006,Consent to Establish,M006_consent_to_establish_03.pdf,State Pollution Control Board,2026-05-12,2028-05-11,HR Officer,2026-09-02T09:20:00,/demo_documents/M006/DOC-00063.pdf,"Synthetic extracted text for Consent to Establish; supports OCR, parsing and compliance workflow tests.",YES,0.978,VERIFIED_DEMO,CMP-M006-003,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00064,M006,Mining Plan,M006_mining_plan_04.pdf,Ministry of Coal / Competent Authority,2025-04-24,,Safety Officer,2026-09-02T13:00:00,/demo_documents/M006/DOC-00064.pdf,"Synthetic extracted text for Mining Plan; supports OCR, parsing and compliance workflow tests.",NO,1.0,VERIFIED_DEMO,CMP-M006-004,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00065,M006,Mine Closure Plan,M006_mine_closure_plan_05.pdf,Ministry of Coal / Competent Authority,2024-10-12,,HR Officer,2026-09-02T09:20:00,/demo_documents/M006/DOC-00065.pdf,"Synthetic extracted text for Mine Closure Plan; supports OCR, parsing and compliance workflow tests.",NO,0.97,VERIFIED_DEMO,CMP-M006-005,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00066,M006,DGMS Inspection Report,M006_dgms_inspection_report_06.pdf,DGMS,2025-02-01,,HR Officer,2026-09-02T12:00:00,/demo_documents/M006/DOC-00066.pdf,"Synthetic extracted text for DGMS Inspection Report; supports OCR, parsing and compliance workflow tests.",YES,0.938,VERIFIED_DEMO,CMP-M006-006,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00067,M006,Safety Audit Report,M006_safety_audit_report_07.pdf,Mine Management,2025-02-15,,Compliance Officer,2026-09-02T11:10:00,/demo_documents/M006/DOC-00067.pdf,"Synthetic extracted text for Safety Audit Report; supports OCR, parsing and compliance workflow tests.",NO,0.979,VERIFIED_DEMO,CMP-M006-007,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00068,M006,Contractor Licence,M006_contractor_licence_08.pdf,Contractor / Labour Compliance,2026-06-13,2027-06-13,Compliance Officer,2026-09-02T09:10:00,/demo_documents/M006/DOC-00068.pdf,"Synthetic extracted text for Contractor Licence; supports OCR, parsing and compliance workflow tests.",NO,0.953,VERIFIED_DEMO,CMP-M006-008,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
