action_id,mine_id,violation_id,corrective_action,assigned_to_role,assigned_by_role,created_at,due_date,completed_at,status,evidence_before_count,evidence_after_count,verification_required,verified_by_role,verification_date,verification_status,escalation_level,data_source
CAPA-00013,M002,VIO-00013,Provide missing documentation and close compliance gap,Mechanical Engineer,Mine Manager,2026-06-28,2026-07-05,2026-07-03,CLOSED,3,4,YES,Safety Officer,2026-07-04,VERIFIED,0,WORKFLOW_DEMO
CAPA-00014,M002,VIO-00014,Rectify observed condition and upload closure evidence,Operations Supervisor,Mine Manager,2026-08-18,2026-08-25,,OVERDUE,1,0,YES,,,NOT_VERIFIED,2,WORKFLOW_DEMO
CAPA-00015,M003,VIO-00015,Restrict affected area until corrective action is verified,Safety Supervisor,Mine Manager,2026-08-19,2026-08-22,2026-08-25,CLOSED,1,1,YES,Safety Officer,2026-08-25,VERIFIED,0,WORKFLOW_DEMO
CAPA-00016,M003,VIO-00016,Restore required safety/control condition and verify effectiveness,Operations Supervisor,Mine Manager,2026-08-19,2026-08-22,2026-08-23,PENDING_VERIFICATION,2,3,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00017,M003,VIO-00017,Restrict affected area until corrective action is verified,Operations Supervisor,Mine Manager,2026-08-26,2026-08-29,2026-08-29,CLOSED,1,4,YES,Safety Officer,2026-08-31,VERIFIED,0,WORKFLOW_DEMO
CAPA-00018,M003,VIO-00018,Conduct technical inspection and implement corrective control,Operations Supervisor,Mine Manager,2026-08-26,2026-08-29,2026-08-28,PENDING_VERIFICATION,2,3,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00019,M003,VIO-00019,Restrict affected area until corrective action is verified,Environment Officer,Mine Manager,2026-08-21,2026-09-04,2026-09-02,CLOSED,3,1,YES,Safety Officer,2026-09-02,VERIFIED,0,WORKFLOW_DEMO
CAPA-00020,M003,VIO-00020,Restore required safety/control condition and verify effectiveness,Operations Supervisor,Mine Manager,2026-07-13,2026-07-14,2026-07-15,CLOSED,2,2,YES,Safety Officer,2026-07-16,VERIFIED,0,WORKFLOW_DEMO
CAPA-00021,M003,VIO-00021,Rectify observed condition and upload closure evidence,Safety Supervisor,Mine Manager,2026-07-13,2026-07-14,2026-07-14,CLOSED,1,4,YES,Safety Officer,2026-07-14,VERIFIED,0,WORKFLOW_DEMO
CAPA-00022,M003,VIO-00022,Provide missing documentation and close compliance gap,Environment Officer,Mine Manager,2026-06-27,2026-07-04,2026-07-03,CLOSED,2,1,YES,Safety Officer,2026-07-04,VERIFIED,0,WORKFLOW_DEMO
CAPA-00023,M003,VIO-00023,Rectify observed condition and upload closure evidence,Electrical Engineer,Mine Manager,2026-06-27,2026-07-04,2026-07-04,CLOSED,3,4,YES,Safety Officer,2026-07-05,VERIFIED,0,WORKFLOW_DEMO
CAPA-00024,M004,VIO-00024,Restrict affected area until corrective action is verified,Environment Officer,Mine Manager,2026-07-04,2026-07-18,2026-07-19,CLOSED,2,2,YES,Safety Officer,2026-07-21,VERIFIED,0,WORKFLOW_DEMO
CAPA-00025,M004,VIO-00025,Restore required safety/control condition and verify effectiveness,Environment Officer,Mine Manager,2026-06-06,2026-06-13,,IN_PROGRESS,3,0,YES,,,NOT_VERIFIED,1,WORKFLOW_DEMO
CAPA-00026,M004,VIO-00026,Provide missing documentation and close compliance gap,Contractor Manager,Mine Manager,2026-06-13,2026-06-20,2026-06-20,PENDING_VERIFICATION,1,3,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00027,M004,VIO-00027,Provide missing documentation and close compliance gap,Safety Supervisor,Mine Manager,2026-07-02,2026-07-16,2026-07-15,PENDING_VERIFICATION,1,4,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00028,M005,VIO-00028,Provide missing documentation and close compliance gap,Safety Supervisor,Mine Manager,2026-08-26,2026-09-02,,IN_PROGRESS,1,1,YES,,,NOT_VERIFIED,0,WORKFLOW_DEMO
CAPA-00029,M005,VIO-00029,Restore required safety/control condition and verify effectiveness,Contractor Manager,Mine Manager,2026-07-05,2026-07-19,2026-07-19,PENDING_VERIFICATION,3,2,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00030,M006,VIO-00030,Restrict affected area until corrective action is verified,Safety Supervisor,Mine Manager,2026-06-30,2026-07-03,,OVERDUE,2,0,YES,,,NOT_VERIFIED,3,WORKFLOW_DEMO
CAPA-00031,M006,VIO-00031,Restore required safety/control condition and verify effectiveness,Environment Officer,Mine Manager,2026-06-11,2026-06-14,,OVERDUE,2,0,YES,,,NOT_VERIFIED,2,WORKFLOW_DEMO
CAPA-00032,M006,VIO-00032,Provide missing documentation and close compliance gap,Environment Officer,Mine Manager,2026-08-08,2026-08-09,2026-08-09,CLOSED,1,2,YES,Safety Officer,2026-08-10,VERIFIED,0,WORKFLOW_DEMO
CAPA-00033,M006,VIO-00033,Conduct technical inspection and implement corrective control,Operations Supervisor,Mine Manager,2026-06-22,2026-06-25,,IN_PROGRESS,3,0,YES,,,NOT_VERIFIED,1,WORKFLOW_DEMO
CAPA-00034,M006,VIO-00034,Provide missing documentation and close compliance gap,Electrical Engineer,Mine Manager,2026-06-19,2026-06-22,,OVERDUE,3,0,YES,,,NOT_VERIFIED,3,WORKFLOW_DEMO
CAPA-00035,M007,VIO-00035,Restore required safety/control condition and verify effectiveness,Safety Supervisor,Mine Manager,2026-07-12,2026-07-15,2026-07-15,PENDING_VERIFICATION,2,3,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00036,M007,VIO-00036,Restrict affected area until corrective action is verified,Electrical Engineer,Mine Manager,2026-08-13,2026-08-14,,IN_PROGRESS,3,1,YES,,,NOT_VERIFIED,1,WORKFLOW_DEMO
CAPA-00037,M007,VIO-00037,Rectify observed condition and upload closure evidence,Contractor Manager,Mine Manager,2026-07-30,2026-08-06,2026-08-08,CLOSED,2,3,YES,Safety Officer,2026-08-09,VERIFIED,0,WORKFLOW_DEMO
CAPA-00038,M007,VIO-00038,Provide missing documentation and close compliance gap,Contractor Manager,Mine Manager,2026-06-06,2026-06-13,2026-06-16,PENDING_VERIFICATION,1,2,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00039,M007,VIO-00039,Provide missing documentation and close compliance gap,Contractor Manager,Mine Manager,2026-07-06,2026-07-07,2026-07-09,PENDING_VERIFICATION,1,2,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00040,M008,VIO-00040,Provide missing documentation and close compliance gap,Mechanical Engineer,Mine Manager,2026-06-14,2026-06-21,2026-06-21,CLOSED,2,1,YES,Safety Officer,2026-06-23,VERIFIED,0,WORKFLOW_DEMO
CAPA-00041,M008,VIO-00041,Restore required safety/control condition and verify effectiveness,Contractor Manager,Mine Manager,2026-06-13,2026-06-16,2026-06-19,PENDING_VERIFICATION,2,1,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00042,M009,VIO-00042,Conduct technical inspection and implement corrective control,Electrical Engineer,Mine Manager,2026-07-16,2026-07-30,2026-07-29,PENDING_VERIFICATION,1,1,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00043,M010,VIO-00043,Restore required safety/control condition and verify effectiveness,Safety Supervisor,Mine Manager,2026-07-06,2026-07-20,2026-07-22,CLOSED,2,4,YES,Safety Officer,2026-07-24,VERIFIED,0,WORKFLOW_DEMO
CAPA-00044,M011,VIO-00044,Restore required safety/control condition and verify effectiveness,Contractor Manager,Mine Manager,2026-07-09,2026-07-10,2026-07-13,PENDING_VERIFICATION,2,1,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00045,M011,VIO-00045,Restrict affected area until corrective action is verified,Mechanical Engineer,Mine Manager,2026-07-24,2026-07-31,,IN_PROGRESS,1,0,YES,,,NOT_VERIFIED,1,WORKFLOW_DEMO
CAPA-00046,M011,VIO-00046,Rectify observed condition and upload closure evidence,Safety Supervisor,Mine Manager,2026-08-08,2026-08-22,2026-08-24,CLOSED,3,4,YES,Safety Officer,2026-08-24,VERIFIED,0,WORKFLOW_DEMO
CAPA-00047,M011,VIO-00047,Restore required safety/control condition and verify effectiveness,Electrical Engineer,Mine Manager,2026-06-13,2026-06-16,2026-06-17,PENDING_VERIFICATION,2,2,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00048,M011,VIO-00048,Conduct technical inspection and implement corrective control,Electrical Engineer,Mine Manager,2026-06-13,2026-06-16,2026-06-19,PENDING_VERIFICATION,1,1,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00049,M012,VIO-00049,Conduct technical inspection and implement corrective control,Operations Supervisor,Mine Manager,2026-06-08,2026-06-15,2026-06-15,CLOSED,2,2,YES,Safety Officer,2026-06-15,VERIFIED,0,WORKFLOW_DEMO
CAPA-00050,M012,VIO-00050,Rectify observed condition and upload closure evidence,Mechanical Engineer,Mine Manager,2026-06-08,2026-06-15,2026-06-15,PENDING_VERIFICATION,3,1,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
